Mechanism,Number of awards,Value of awards,,,,
U18,12,"$6,419,748",0.000721631,12 (0.1%),0.000894479,"$6,419,748 (0.1%)"
Y01,11,"$3,943,597",0.000661495,11 (0.1%),0.000549471,"$3,943,597 (0.1%)"
F99,10,"$349,828",0.000601359,10 (0.1%),4.87424E-05,"$349,828 (0.0%)"
OT3,10,"$7,774,024",0.000601359,10 (0.1%),0.001083174,"$7,774,024 (0.1%)"
R90,10,"$2,398,177",0.000601359,10 (0.1%),0.000334144,"$2,398,177 (0.0%)"
SC2,10,"$1,406,895",0.000601359,10 (0.1%),0.000196026,"$1,406,895 (0.0%)"
F37,9,"$398,860",0.000541223,9 (0.1%),5.55741E-05,"$398,860 (0.0%)"
K00,9,"$652,810",0.000541223,9 (0.1%),9.09576E-05,"$652,810 (0.0%)"
R36,9,"$412,491",0.000541223,9 (0.1%),5.74734E-05,"$412,491 (0.0%)"
K05,8,"$1,370,394",0.000481087,8 (0.0%),0.00019094,"$1,370,394 (0.0%)"
SC3,8,"$592,686",0.000481087,8 (0.0%),8.25804E-05,"$592,686 (0.0%)"
K12,7,"$2,892,835",0.000420951,7 (0.0%),0.000403066,"$2,892,835 (0.0%)"
R23,7,"$359,827",0.000420951,7 (0.0%),5.01356E-05,"$359,827 (0.0%)"
UM1,7,"$9,187,868",0.000420951,7 (0.0%),0.001280168,"$9,187,868 (0.1%)"
U44,6,"$1,967,425",0.000360815,6 (0.0%),0.000274126,"$1,967,425 (0.0%)"
KL2,5,"$1,972,252",0.00030068,5 (0.0%),0.000274799,"$1,972,252 (0.0%)"
RM1,5,"$7,112,351",0.00030068,5 (0.0%),0.000990981,"$7,112,351 (0.1%)"
K11,4,"$301,246",0.000240544,4 (0.0%),4.19733E-05,"$301,246 (0.0%)"
K18,4,"$579,270",0.000240544,4 (0.0%),8.07111E-05,"$579,270 (0.0%)"
K76,4,"$921,902",0.000240544,4 (0.0%),0.000128451,"$921,902 (0.0%)"
N44,4,"$2,739,641",0.000240544,4 (0.0%),0.000381721,"$2,739,641 (0.0%)"
G13,3,"$224,846",0.000180408,3 (0.0%),3.13283E-05,"$224,846 (0.0%)"
K43,3,"$185,322",0.000180408,3 (0.0%),2.58214E-05,"$185,322 (0.0%)"
P60,3,"$5,428,065",0.000180408,3 (0.0%),0.000756305,"$5,428,065 (0.1%)"
R55,3,"$200,000",0.000180408,3 (0.0%),2.78665E-05,"$200,000 (0.0%)"
S06,3,"$343,511",0.000180408,3 (0.0%),4.78622E-05,"$343,511 (0.0%)"
S07,3,"$233,689",0.000180408,3 (0.0%),3.25605E-05,"$233,689 (0.0%)"
U10,3,"$668,360",0.000180408,3 (0.0%),9.31242E-05,"$668,360 (0.0%)"
U13,3,"$404,893",0.000180408,3 (0.0%),5.64147E-05,"$404,893 (0.0%)"
DP3,2,"$5,024,500",0.000120272,2 (0.0%),0.000700076,"$5,024,500 (0.1%)"
F33,2,"$73,995",0.000120272,2 (0.0%),1.03099E-05,"$73,995 (0.0%)"
