Feature,Document Frequency,Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Trial 10,
2500,0.1,0.034590946,0.034271702,0.036866221,0.033024359,0.034629844,0.035024378,0.033023593,0.035298937,0.032828442,0.033822872,0.034338129
2500,0.2,0.032737585,0.033940918,0.034048098,0.032965602,0.034850772,0.034215446,0.032036971,0.032738138,0.033175288,0.03472257,0.033543139
2500,0.3,0.030969202,0.031437657,0.032516379,0.033318725,0.032978843,0.029850546,0.032810307,0.032560145,0.032094974,0.032613013,0.032114979
2500,0.4,0.032638689,0.030139572,0.033990644,0.033579946,0.02923004,0.032234905,0.031706563,0.031505957,0.033087391,0.030960701,0.031907441
2500,0.5,0.029400381,0.031825017,0.031404846,0.034431436,0.031288375,0.030537808,0.030797271,0.032689342,0.034708286,0.029789952,0.031687271
2500,0.6,0.030508573,0.031623973,0.031170924,0.032670681,0.03325412,0.031803625,0.03166389,0.031436096,0.030477413,0.029492698,0.031410199
2500,0.7,0.029654257,0.032041028,0.031640928,0.032502599,0.031167448,0.032280044,0.031974792,0.030930596,0.030677154,0.032365036,0.031523388
2500,0.8,0.033612443,0.031539038,0.033443925,0.030976226,0.032403723,0.032896365,0.032041705,0.031867638,0.030374817,0.031760542,0.032091642
2500,0.9,0.03103993,0.03121787,0.027850546,0.031359563,0.031904775,0.030638069,0.033143913,0.028695843,0.035328775,0.030666583,0.031184587
2500,1,0.887034288,0.88699618,0.887009635,0.887063201,0.887070433,0.88616957,0.886593669,0.885302041,0.887123019,0.887145696,0.886750773
3000,0.1,0.03158731,0.028900694,0.032413817,0.032345516,0.032120542,0.03249474,0.030250826,0.032300619,0.033324114,0.03295334,0.031869152
3000,0.2,0.032635448,0.030653693,0.030654088,0.032666925,0.029465835,0.030642299,0.03374127,0.032684955,0.032101977,0.033756464,0.031900295
3000,0.3,0.033538792,0.030194959,0.029487248,0.029557218,0.031584267,0.033460508,0.031244159,0.030073937,0.029528908,0.030461803,0.03091318
3000,0.4,0.028991659,0.029451006,0.031710438,0.028254371,0.030045947,0.030350933,0.031662771,0.030031294,0.030715467,0.029733611,0.03009475
3000,0.5,0.029377333,0.03020014,0.03026931,0.031413056,0.026937095,0.02760775,0.028251398,0.031163664,0.032319585,0.029376535,0.029691587
3000,0.6,0.03117533,0.030663259,0.029188741,0.030478273,0.030043045,0.029333719,0.028450936,0.027833906,0.03082521,0.0316027,0.029959512
3000,0.7,0.030738365,0.031559459,0.030012919,0.027263009,0.029827261,0.030590512,0.029566952,0.027962386,0.030240506,0.031687397,0.029944876
3000,0.8,0.029978918,0.0313806,0.030681467,0.031437179,0.028891779,0.028714894,0.029318246,0.028867316,0.031874495,0.029575377,0.030072027
3000,0.9,0.026958681,0.029505043,0.030966173,0.031637126,0.030782772,0.031337807,0.029798535,0.029333037,0.029207446,0.031070189,0.030059681
3000,1,0.878924202,0.878985169,0.878962495,0.878992232,0.878874828,0.878969555,0.87889447,0.878910089,0.877949225,0.878487383,0.878794965
